userid,start,end,slp.quality,time.in.bed,day,go.to.bed,wake.up,night.sleep,WeekDay
4,2018-04-25T14:19:33Z,2018-04-25T20:33:06Z,0.6,373,2018-04-26,0,6,TRUE,Thursday
4,2018-04-26T15:46:14Z,2018-04-26T21:27:13Z,0.48,341,2018-04-27,1,7,TRUE,Friday
4,2018-04-27T13:12:23Z,2018-04-27T20:55:27Z,0.68,463,2018-04-28,23,6,TRUE,Saturday
4,2018-04-28T14:32:56Z,2018-04-28T20:34:59Z,0.58,362,2018-04-29,0,6,TRUE,Sunday
5,2018-04-01T11:51:00Z,2018-04-01T20:38:00Z,0.37,526,2018-04-02,21,6,TRUE,Monday
5,2018-04-02T11:00:00Z,2018-04-02T18:07:00Z,0.59,426,2018-04-03,21,4,TRUE,Tuesday
5,2018-04-02T18:08:00Z,2018-04-02T19:55:00Z,0.13,107,2018-04-03,4,5,TRUE,Tuesday
5,2018-04-03T12:21:00Z,2018-04-03T20:10:00Z,0.88,468,2018-04-04,22,6,TRUE,Wednesday
5,2018-04-04T11:39:00Z,2018-04-04T19:45:00Z,0.62,486,2018-04-05,21,5,TRUE,Thursday
5,2018-04-05T11:42:00Z,2018-04-05T20:14:00Z,0.77,512,2018-04-06,21,6,TRUE,Friday
5,2018-04-06T14:18:00Z,2018-04-06T21:36:00Z,0.72,438,2018-04-07,0,7,TRUE,Saturday
5,2018-04-07T04:03:00Z,2018-04-07T05:25:00Z,0.17,82,2018-04-07,14,15,FALSE,Saturday
5,2018-04-07T13:00:00Z,2018-04-07T20:38:00Z,0.77,458,2018-04-08,23,6,TRUE,Sunday
5,2018-04-08T12:09:00Z,2018-04-08T20:41:00Z,0.9,512,2018-04-09,22,6,TRUE,Monday
5,2018-04-09T11:30:00Z,2018-04-09T19:49:00Z,0.8,499,2018-04-10,21,5,TRUE,Tuesday
5,2018-04-10T12:19:00Z,2018-04-10T20:02:00Z,0.71,462,2018-04-11,22,6,TRUE,Wednesday
