userid,date,slp.start,slp.end,slp.quality,time.in.bed,go.to.bed,wake.up,weekday,sentiment.score,mood.score,mood,temp.high,temp.low,humidity.high,precip.sum,weather.event
4,2018-04-27,2018-04-26T15:46:14Z,2018-04-26T21:27:13Z,0.48,341,1,7,Friday,0.5123675,3,meh,20,16,90,4.06,Rain
4,2018-04-28,2018-04-27T13:12:23Z,2018-04-27T20:55:27Z,0.68,463,23,6,Saturday,0.274997,3,meh,19,14,100,0.51,Rain
4,2018-04-29,2018-04-28T14:32:56Z,2018-04-28T20:34:59Z,0.58,362,0,6,Sunday,0.699903,4,good,20,13,94,10.92,"Rain , Thunderstorm"
5,2018-04-02,2018-04-01T11:51:00Z,2018-04-01T20:38:00Z,0.37,526,21,6,Monday,0.114812,3,meh,32,20,94,3.05,"Rain , Thunderstorm"
5,2018-04-03,2018-04-02T11:00:00Z,2018-04-02T19:55:00Z,0.36,533,21,5,Tuesday,0.180355,2,bad,24,20,83,0.25,NA
5,2018-04-04,2018-04-03T12:21:00Z,2018-04-03T20:10:00Z,0.88,468,22,6,Wednesday,0.762828,4,good,25,20,88,0,NA
5,2018-04-05,2018-04-04T11:39:00Z,2018-04-04T19:45:00Z,0.62,486,21,5,Thursday,0.987559,4,good,28,18,88,0,NA
5,2018-04-06,2018-04-05T11:42:00Z,2018-04-05T20:14:00Z,0.77,512,21,6,Friday,0.900073,4,good,25,19,94,0,NA
5,2018-04-07,2018-04-06T14:18:00Z,2018-04-06T21:36:00Z,0.72,438,0,7,Saturday,0.859566,4,good,28,19,88,0,NA
5,2018-04-08,2018-04-07T13:00:00Z,2018-04-07T20:38:00Z,0.77,458,23,6,Sunday,0.957001,4,good,27,19,94,0,NA
5,2018-04-09,2018-04-08T12:09:00Z,2018-04-08T20:41:00Z,0.9,512,22,6,Monday,0.01415,3,meh,36,19,88,0,NA
5,2018-04-10,2018-04-09T11:30:00Z,2018-04-09T19:49:00Z,0.8,499,21,5,Tuesday,0.281393,3,meh,24,19,78,0,Rain
5,2018-04-11,2018-04-10T12:19:00Z,2018-04-10T20:02:00Z,0.71,462,22,6,Wednesday,0.974545,4,good,28,20,78,0,NA
5,2018-04-12,2018-04-11T12:35:00Z,2018-04-11T20:27:00Z,0.83,471,22,6,Thursday,0.929137,5,rad,35,19,88,0,NA
5,2018-04-13,2018-04-12T11:49:00Z,2018-04-12T20:43:00Z,0.97,534,21,6,Friday,0.983278,4,good,34,23,41,0,NA
5,2018-04-14,2018-04-13T12:13:00Z,2018-04-13T21:00:00Z,0.69,466,22,7,Saturday,0.852891,4,good,31,23,50,0,Rain
5,2018-04-15,2018-04-14T12:36:00Z,2018-04-14T21:03:00Z,0.92,517,22,7,Sunday,0.934312,4,good,25,18,49,0,NA
5,2018-04-16,2018-04-15T12:03:00Z,2018-04-15T19:55:00Z,0.84,471,22,5,Monday,0.826417,4,good,31,18,56,0,NA
5,2018-04-17,2018-04-16T11:39:00Z,2018-04-16T20:00:00Z,0.62,500,21,6,Tuesday,0.05137,3,meh,21,18,88,0,Rain
5,2018-04-18,2018-04-17T12:04:00Z,2018-04-17T20:11:00Z,0.96,486,22,6,Wednesday,0.897696,4,good,22,18,68,0,NA
5,2018-04-19,2018-04-18T11:42:00Z,2018-04-18T20:15:00Z,0.92,512,21,6,Thursday,0.053185,3,meh,27,15,77,0,NA
5,2018-04-20,2018-04-19T12:05:00Z,2018-04-19T20:35:00Z,1,513,22,6,Friday,0.865372,3,meh,22,16,94,0,NA
5,2018-04-21,2018-04-20T12:48:00Z,2018-04-20T20:34:00Z,0.92,465,22,6,Saturday,0.989814,4,good,22,17,94,0,NA
5,2018-04-22,2018-04-20T14:04:00Z,2018-04-22T10:20:00Z,0.67,496,0,20,Sunday,0.996069,4,good,23,15,88,0,NA
5,2018-04-23,2018-04-22T11:40:00Z,2018-04-22T20:32:00Z,0.93,532,21,6,Monday,0.124529,3,meh,24,15,88,0,NA
5,2018-04-24,2018-04-23T12:11:00Z,2018-04-23T20:28:00Z,0.9,496,22,6,Tuesday,0.92294,3,meh,23,16,88,0,NA
5,2018-04-25,2018-04-24T12:35:00Z,2018-04-24T20:45:00Z,0.76,490,22,6,Wednesday,0.885915,4,good,23,14,94,0,NA
5,2018-04-26,2018-04-25T12:02:00Z,2018-04-25T20:48:00Z,0.85,526,22,6,Thursday,0.030462,4,good,22,17,94,0,NA
5,2018-04-27,2018-04-26T12:00:00Z,2018-04-26T20:29:00Z,0.88,508,22,6,Friday,0.991994,4,good,20,16,90,4.06,Rain
5,2018-04-28,2018-04-27T12:18:00Z,2018-04-27T20:48:00Z,0.75,465,22,6,Saturday,0.940092,4,good,19,14,100,0.51,Rain
5,2018-04-29,2018-04-28T11:11:00Z,2018-04-28T20:15:00Z,0.79,544,21,6,Sunday,0.971939,4,good,20,13,94,10.92,"Rain , Thunderstorm"
5,2018-04-30,2018-04-29T12:38:00Z,2018-04-29T20:17:00Z,0.71,458,22,6,Monday,NA,NA,NA,19,12,94,0,Rain
6,2018-03-31,2018-03-30T13:43:00Z,2018-03-30T21:23:00Z,0.79,460,0,8,Saturday,0.753245,4,good,NA,NA,NA,NA,NA
6,2018-04-01,2018-03-31T14:12:00Z,2018-03-31T20:57:00Z,0.61,405,1,6,Sunday,0.5,4,good,29,20,94,0,NA
6,2018-04-02,2018-04-01T15:36:00Z,2018-04-01T21:58:00Z,0.55,381,1,7,Monday,0.8094266666666666,3,meh,32,20,94,3.05,"Rain , Thunderstorm"
6,2018-04-03,2018-04-02T13:35:00Z,2018-04-02T20:53:00Z,0.87,437,23,6,Tuesday,0.753245,4,good,24,20,83,0.25,NA
6,2018-04-04,2018-04-03T14:42:00Z,2018-04-03T21:10:00Z,0.79,388,0,7,Wednesday,0.753245,4,good,25,20,88,0,NA
6,2018-04-05,2018-04-04T13:34:00Z,2018-04-04T20:51:00Z,0.78,437,23,6,Thursday,0.753245,4,good,28,18,88,0,NA
6,2018-04-06,2018-04-05T15:06:00Z,2018-04-05T20:49:00Z,0.63,342,1,6,Friday,0.3961525,3,meh,25,19,94,0,NA
6,2018-04-07,2018-04-06T14:00:00Z,2018-04-06T20:49:00Z,0.77,408,0,6,Saturday,0.753245,4,good,28,19,88,0,NA
6,2018-04-08,2018-04-07T14:02:00Z,2018-04-07T21:29:00Z,0.75,447,0,7,Sunday,0.5,5,rad,27,19,94,0,NA
6,2018-04-09,2018-04-08T13:51:00Z,2018-04-08T21:20:00Z,0.74,448,23,7,Monday,0.753245,4,good,36,19,88,0,NA
6,2018-04-10,2018-04-09T13:41:00Z,2018-04-09T21:10:00Z,0.84,448,23,7,Tuesday,0.874679,5,rad,24,19,78,0,Rain
6,2018-04-11,2018-04-10T14:35:00Z,2018-04-10T21:27:00Z,0.8,412,0,7,Wednesday,0.753245,4,good,28,20,78,0,NA
6,2018-04-12,2018-04-11T15:40:00Z,2018-04-11T21:29:00Z,0,0,1,7,Thursday,0.753245,3,meh,35,19,88,0,NA
6,2018-04-13,2018-04-12T13:04:00Z,2018-04-12T21:21:00Z,0.85,497,23,7,Friday,0.927311,5,rad,34,23,41,0,NA
6,2018-04-14,2018-04-13T15:20:00Z,2018-04-13T21:30:00Z,0.6,369,1,7,Saturday,0.113265,2,bad,31,23,50,0,Rain
6,2018-04-15,2018-04-14T16:06:00Z,2018-04-14T21:27:00Z,0.59,321,2,7,Sunday,0.7132885,4,good,25,18,49,0,NA
6,2018-04-16,2018-04-15T13:51:00Z,2018-04-15T21:29:00Z,0.55,458,23,7,Monday,0.5,1,awful,31,18,56,0,NA
6,2018-04-17,2018-04-16T13:49:00Z,2018-04-16T21:29:00Z,0.79,459,23,7,Tuesday,0.988798,5,rad,21,18,88,0,Rain
6,2018-04-18,2018-04-17T13:41:00Z,2018-04-17T21:27:00Z,0.84,465,23,7,Wednesday,0.753245,3,meh,22,18,68,0,NA
6,2018-04-19,2018-04-18T15:52:00Z,2018-04-18T21:26:00Z,0.61,334,1,7,Thursday,0.243737,5,rad,27,15,77,0,NA
6,2018-04-20,2018-04-19T18:14:00Z,2018-04-19T21:27:00Z,0.35,193,4,7,Friday,0.753245,3,meh,22,16,94,0,NA
6,2018-04-21,2018-04-20T13:55:00Z,2018-04-20T21:28:00Z,0.74,452,23,7,Saturday,0.753245,4,good,22,17,94,0,NA
6,2018-04-22,2018-04-21T15:03:00Z,2018-04-21T21:13:00Z,0.72,370,1,7,Sunday,0.940855,4,good,23,15,88,0,NA
6,2018-04-23,2018-04-22T14:40:00Z,2018-04-22T21:12:00Z,0.82,391,0,7,Monday,0.753245,3,meh,24,15,88,0,NA
6,2018-04-24,2018-04-23T14:23:00Z,2018-04-23T21:28:00Z,0.73,424,0,7,Tuesday,0.753245,3,meh,23,16,88,0,NA
6,2018-04-25,2018-04-24T14:05:00Z,2018-04-24T21:46:00Z,0.7,461,0,7,Wednesday,0.753245,4,good,23,14,94,0,NA
6,2018-04-26,2018-04-25T16:00:00Z,2018-04-25T21:56:00Z,0.62,356,2,7,Thursday,0.019801,3,meh,22,17,94,0,NA
6,2018-04-27,2018-04-26T14:05:00Z,2018-04-26T21:57:00Z,0.72,472,0,7,Friday,0.753245,4,good,20,16,90,4.06,Rain
6,2018-04-28,2018-04-27T14:37:00Z,2018-04-27T21:54:00Z,0.81,436,0,7,Saturday,0.940855,4,good,19,14,100,0.51,Rain
6,2018-04-29,2018-04-28T14:17:00Z,2018-04-28T21:24:00Z,0.71,426,0,7,Sunday,0.753245,5,rad,20,13,94,10.92,"Rain , Thunderstorm"
6,2018-04-30,2018-04-29T14:57:00Z,2018-04-29T21:30:00Z,0.71,393,0,7,Monday,0.753245,3,meh,19,12,94,0,Rain
