date,industry,location,monthly_mean
2013-07-01,1,7,199528.39151634616
2013-07-01,1,8,137609.55082520001
2013-07-01,1,9,171761.03098272727
2013-07-01,1,10,219309.83240070424
2013-07-01,2,1,387169.1553157831
2013-07-01,2,2,301293.2279618644
2013-07-01,2,3,192148.52505117646
2013-07-01,2,4,342635.3815153333
2013-07-01,2,5,311173.099046
2013-07-01,2,6,190619.2807
2013-07-01,2,7,396994.8448055
2013-07-01,2,8,219265.95594666668
2013-07-01,2,9,373969.7362953846
2013-07-01,2,10,238875.21151666666
2013-07-01,3,1,741915.21713
2013-07-01,3,2,450004.88805
2013-07-01,3,3,581301.5187
2013-07-01,3,4,605888.231
2013-07-01,3,5,675187.0837
2013-07-01,3,7,406842.06984999997
2013-07-01,3,9,908695.5747
2013-07-01,4,1,264746.98764210526
2013-07-01,4,2,195960.89693777778
2013-07-01,4,3,218935.958175
2013-07-01,4,4,207573.89923166667
2013-07-01,4,5,280189.89645913045
2013-07-01,4,6,486842.44556666666
2013-07-01,4,7,390859.4405706667
2013-07-01,4,8,169036.39796666667
2013-07-01,4,9,182545.78555545455
2013-07-01,4,10,260555.95537
2013-07-01,5,1,667523.7669645455
2013-07-01,5,2,406378.07126
2013-07-01,5,3,336028.9034
2013-07-01,5,4,598873.9357833334
2013-07-01,5,5,234928.5669
2013-07-01,5,6,699717.98412
2013-07-01,5,7,394292.54155
2013-07-01,5,8,596836.7290749999
2013-07-01,5,9,689461.388275
2013-07-01,5,10,615858.9088
2013-07-01,6,1,26165409.363080002
2013-07-01,7,1,204980.49850153847
2013-07-01,7,2,242995.2451633333
2013-07-01,7,3,537889.3040766667
2013-07-01,7,4,502784.29405
2013-07-01,7,5,489533.7800814286
2013-07-01,7,6,218715.1586
2013-07-01,7,7,334032.4161533333
2013-07-01,7,8,253061.50763333333
2013-07-01,7,9,599675.9663
2013-07-01,7,10,349895.02745
2013-07-01,8,1,633755.9362966667
2013-07-01,8,2,413426.984125
2013-07-01,8,3,917019.885
2013-07-01,8,4,433029.8012666667
2013-07-01,8,5,975549.95345
2013-07-01,8,6,209966.378975
2013-07-01,8,7,1109868.269
2013-07-01,8,8,382740.26978
2013-07-01,8,9,325066.37742166664
2013-07-01,8,10,203532.148475
2013-07-01,9,1,83181.80804333332
2013-07-01,9,2,575695.918168
2013-07-01,9,3,511125.25806666666
2013-07-01,9,4,1435383.4072233334
2013-07-01,9,7,688419.6246
2013-07-01,10,2,231447.27115
2013-07-01,10,3,83545.43625
2013-07-01,10,4,76016.52255
2013-07-01,10,5,142990.704765
2013-07-01,10,7,357337.46975
2013-07-01,10,8,18356616.719254997
2013-07-01,10,9,102393.4394
2013-08-01,1,1,165312.8268658108
2013-08-01,1,2,179351.24849460938
2013-08-01,1,3,153854.17341508475
2013-08-01,1,4,271455.1217162712
2013-08-01,1,5,185432.550164433
2013-08-01,1,6,133893.64291697368
2013-08-01,1,7,202258.45864
2013-08-01,1,8,142237.294024
2013-08-01,1,9,174897.03835681817
2013-08-01,1,10,217931.4495187324
2013-08-01,2,1,428898.8101562222
2013-08-01,2,2,335017.85841916665
2013-08-01,2,3,267915.1920466667
2013-08-01,2,4,389710.30834285717
2013-08-01,2,5,310330.373228
2013-08-01,2,6,201007.40142727274
2013-08-01,2,7,386481.2277061905
2013-08-01,2,8,221937.35870333333
2013-08-01,2,9,410007.95310833334
2013-08-01,2,10,251257.87794333333
2013-08-01,3,1,728309.5925703334
2013-08-01,3,2,556459.3412133333
2013-08-01,3,3,554056.20086
2013-08-01,3,4,686780.91688
2013-08-01,3,5,653240.6276
2013-08-01,3,7,400335.848375
2013-08-01,3,9,1095372.723
2013-08-01,4,1,260837.62699947366
2013-08-01,4,2,199154.1695931579
2013-08-01,4,3,235399.50204999998
2013-08-01,4,4,232226.21119666667
2013-08-01,4,5,321081.0080625
2013-08-01,4,6,513269.2999333333
2013-08-01,4,7,372689.67249933333
2013-08-01,4,8,180377.90702615384
2013-08-01,4,9,198208.91704545455
2013-08-01,4,10,250628.47939
2013-08-01,5,1,686144.7788466667
2013-08-01,5,2,415961.54888
2013-08-01,5,3,403424.5631
2013-08-01,5,4,567190.9707285714
2013-08-01,5,5,200492.55276666666
2013-08-01,5,6,577078.6593749999
2013-08-01,5,7,386705.8754
2013-08-01,5,8,614129.27555
2013-08-01,5,9,739832.3716375
2013-08-01,5,10,648482.5725
2013-08-01,6,1,21955778.81565
2013-08-01,7,1,221049.47271615386
2013-08-01,7,2,269663.29519833333
2013-08-01,7,3,593428.3034
2013-08-01,7,4,478254.983225
2013-08-01,7,5,565531.7696071428
2013-08-01,7,6,251384.0177
2013-08-01,7,7,300740.2289742857
2013-08-01,7,8,286609.90373333334
2013-08-01,7,9,602111.3527200001
2013-08-01,7,10,410278.20645
2013-08-01,8,1,727709.2300066666
2013-08-01,8,2,402198.9534
2013-08-01,8,3,1013282.8566
2013-08-01,8,4,439938.7292
2013-08-01,8,5,1011991.15705
2013-08-01,8,6,243399.83476499998
2013-08-01,8,7,1067682.332
2013-08-01,8,8,474869.49314
2013-08-01,8,9,342302.12717583333
2013-08-01,8,10,206707.9152
2013-08-01,9,1,163457.62283333333
2013-08-01,9,2,661585.1943555999
2013-08-01,9,3,654874.4382633333
2013-08-01,9,4,2953105.16775
2013-08-01,9,7,763143.45565
2013-08-01,10,2,293537.9373333333
2013-08-01,10,3,85454.24241
2013-08-01,10,4,67436.88719
2013-08-01,10,5,134486.71776166666
2013-08-01,10,7,272192.1194
2013-08-01,10,8,19987638.2538
2013-08-01,10,9,97443.23097
2013-09-01,1,1,147199.16998906666
2013-09-01,1,2,171949.2163896875
2013-09-01,1,3,143765.25896774195
2013-09-01,1,4,243169.24485043858
2013-09-01,1,5,175663.0646515
2013-09-01,1,6,135144.2178312676
2013-09-01,1,7,186397.71323471697
2013-09-01,1,8,130825.1794356
2013-09-01,1,9,168149.43741173914
2013-09-01,1,10,210168.898582
2013-09-01,2,1,401599.9724182609
2013-09-01,2,2,312796.2078257377
2013-09-01,2,3,266923.8797931579
2013-09-01,2,4,367074.17479333334
2013-09-01,2,5,298861.47108
2013-09-01,2,6,239857.96795083335
2013-09-01,2,7,372148.93492954544
2013-09-01,2,8,245754.67989
2013-09-01,2,9,372354.3392428572
2013-09-01,2,10,247571.16896888887
2013-09-01,3,1,622375.9896651516
2013-09-01,3,2,553212.940239
2013-09-01,3,3,541245.6615
2013-09-01,3,4,619861.329014
2013-09-01,3,5,789509.6543
2013-09-01,3,7,349728.14540000004
